Collège;2;3;2;année;;
1;Quels est l'écriture chimique de la molécule d'eau ?;Co2;H2o;H4o2;null;2
2;Qui a-t-il dans les Chromosomes ?;Des nerfs;Du sangs;de l'ADN;LE QI;3
3;Quels est la vitesse de la lumière ?;300 000km/min;300 000m/s;300 000km/s;150 000m/s;3
4;Quel est la valeur de base d'une prise électrique en France ?;230V 6A;210V 3A;110V;8A;1
5;Quel pays a déclenché la Seconde Guerre mondiale ?;la France;La Pologne;L'Allemagne;L'Autriche;3
6;Qui fut le premier empereur en Italie ?;Pietro Serino;Jules caesar;Caius Octavius;null;3
7;Quel est la nationalité d'Isaac Newton dit Newton ?;Americaine;Française;Russe;Anglaise;4
8;Qui a donné naissance à la première Bombe atomique ?;Robert Oppenheimer;Albert Einstein;Leonardo DiCaprio;Leonardo da vinci;1
9;Vrai ou Faux : Il existe 3 états à la matière;VRAI;FAUX;null;null;1
10;Une molécule est composée ...;de Cellule;de Nerf;d'ADN;d'atomes;4
11;Quels est l'intrus ?;a pumpkin;a squash;an asparagus;a desk;4
12;Combien compte t-on de pays dans l'Union européenne ?;15;27;42;23;2
